Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0087843,2023-07-25,2023-07-25,,Once Upon a Time in America,https://www.imdb.com/title/tt0087843/,movie,8.3,229,1984,"Crime, Drama",363279,1984-05-20,Sergio Leone,8,2015-04-07
2,tt0265666,2023-07-25,2023-07-25,,The Royal Tenenbaums,https://www.imdb.com/title/tt0265666/,movie,7.6,110,2001,"Comedy, Drama",304110,2001-10-05,Wes Anderson,,
3,tt0486358,2023-07-25,2023-07-25,,Jesus Camp,https://www.imdb.com/title/tt0486358/,movie,7.4,84,2006,Documentary,28433,2006-04-27,"Rachel Grady, Heidi Ewing",,
4,tt4595882,2023-07-25,2023-07-25,,Can You Ever Forgive Me?,https://www.imdb.com/title/tt4595882/,movie,7.1,106,2018,"Biography, Comedy, Crime, Drama",54518,2018-09-01,Marielle Heller,,
5,tt0094747,2023-07-25,2023-07-25,,Bird,https://www.imdb.com/title/tt0094747/,movie,7.1,161,1988,"Biography, Drama, Music",13051,1988-05-21,Clint Eastwood,,
6,tt0368794,2023-07-25,2023-07-25,,I'm Not There,https://www.imdb.com/title/tt0368794/,movie,6.8,135,2007,"Biography, Drama, Music",60110,2007-09-03,Todd Haynes,,
7,tt2278871,2023-07-25,2023-07-25,,La vie d'Adèle,https://www.imdb.com/title/tt2278871/,movie,7.7,180,2013,"Drama, Romance",158162,2013-05-23,Abdellatif Kechiche,,
8,tt0289879,2023-07-25,2023-07-25,,The Butterfly Effect,https://www.imdb.com/title/tt0289879/,movie,7.6,113,2004,"Drama, Sci-Fi, Thriller",505161,2004-01-17,"J. Mackye Gruber, Eric Bress",,
9,tt0049513,2023-07-25,2023-07-25,,Moby Dick,https://www.imdb.com/title/tt0049513/,movie,7.3,116,1956,"Adventure, Drama",20947,1956-06-27,John Huston,,
10,tt0490215,2023-07-25,2023-07-25,,Silence,https://www.imdb.com/title/tt0490215/,movie,7.2,161,2016,"Drama, History",117492,2016-11-29,Martin Scorsese,,
11,tt7984734,2023-07-25,2023-07-25,,The Lighthouse,https://www.imdb.com/title/tt7984734/,movie,7.4,109,2019,"Drama, Fantasy, Horror, Mystery, Thriller",234575,2019-05-19,Robert Eggers,,
12,tt0457430,2023-07-25,2023-07-25,,El laberinto del fauno,https://www.imdb.com/title/tt0457430/,movie,8.2,118,2006,"Drama, Fantasy, War",684620,2006-05-27,Guillermo del Toro,,
13,tt0108394,2023-07-25,2023-07-25,,Trois couleurs: Bleu,https://www.imdb.com/title/tt0108394/,movie,7.9,94,1993,"Drama, Music, Mystery, Romance",106751,1993-09-03,Krzysztof Kieslowski,,
14,tt0055614,2023-07-25,2023-07-25,,West Side Story,https://www.imdb.com/title/tt0055614/,movie,7.6,153,1961,"Crime, Drama, Musical, Romance",118011,1961-10-18,"Jerome Robbins, Robert Wise",,
15,tt0058385,2023-07-25,2023-07-25,,My Fair Lady,https://www.imdb.com/title/tt0058385/,movie,7.8,170,1964,"Drama, Family, Musical, Romance",98861,1964-10-21,George Cukor,,
16,tt0050976,2023-07-25,2023-07-25,,Det sjunde inseglet,https://www.imdb.com/title/tt0050976/,movie,8.1,96,1957,"Drama, Fantasy",191338,1957-02-16,Ingmar Bergman,,
17,tt6611916,2023-07-25,2023-07-25,,Kingdom,https://www.imdb.com/title/tt6611916/,tvSeries,8.3,45,2019,"Action, Drama, Horror, Thriller",50521,2019-01-25,,,
18,tt0065988,2023-07-25,2023-07-25,,Little Big Man,https://www.imdb.com/title/tt0065988/,movie,7.5,139,1970,"Adventure, Comedy, Drama, Western",36831,1970-12-14,Arthur Penn,,
19,tt0129686,2023-07-25,2023-07-25,,Hornblower: The Even Chance,https://www.imdb.com/title/tt0129686/,tvMovie,8.1,93,1998,"Adventure, Drama, War",5850,1998-10-07,Andrew Grieve,,
20,tt0072431,2023-07-25,2023-07-25,,Young Frankenstein,https://www.imdb.com/title/tt0072431/,movie,8.0,106,1974,Comedy,163766,1974-12-15,Mel Brooks,,
21,tt0248654,2023-07-25,2023-07-25,,Six Feet Under,https://www.imdb.com/title/tt0248654/,tvSeries,8.7,60,2001,"Comedy, Drama",139964,2001-06-03,,,
22,tt0335345,2023-07-25,2023-07-25,,The Passion of the Christ,https://www.imdb.com/title/tt0335345/,movie,7.2,127,2004,Drama,242326,2004-02-25,Mel Gibson,,
23,tt4048272,2023-07-25,2023-07-25,,Toni Erdmann,https://www.imdb.com/title/tt4048272/,movie,7.3,162,2016,"Comedy, Drama",50005,2016-05-14,Maren Ade,,
24,tt0273923,2023-07-25,2023-07-25,,Orange County,https://www.imdb.com/title/tt0273923/,movie,6.2,82,2002,"Comedy, Drama",51187,2002-01-07,Jake Kasdan,,
25,tt4016934,2023-07-25,2023-07-25,,Ah-ga-ssi,https://www.imdb.com/title/tt4016934/,movie,8.1,145,2016,"Drama, Romance, Thriller",159602,2016-05-14,Park Chan-wook,,
26,tt0059742,2023-07-25,2023-07-25,,The Sound of Music,https://www.imdb.com/title/tt0059742/,movie,8.1,172,1965,"Biography, Drama, Family, Musical, Romance",246840,1965-03-02,Robert Wise,9,2023-07-25
27,tt8324422,2023-07-25,2023-07-25,,PEN15,https://www.imdb.com/title/tt8324422/,tvSeries,8.1,30,2019,Comedy,12676,2019-01-01,,,
28,tt0276919,2023-07-25,2023-07-25,,Dogville,https://www.imdb.com/title/tt0276919/,movie,8.0,178,2003,"Crime, Drama",153955,2003-05-19,Lars von Trier,,
29,tt0090756,2023-07-25,2023-07-25,,Blue Velvet,https://www.imdb.com/title/tt0090756/,movie,7.7,120,1986,"Crime, Drama, Mystery, Thriller",207701,1986-08-30,David Lynch,,
30,tt0087182,2023-07-25,2023-07-25,,Dune,https://www.imdb.com/title/tt0087182/,movie,6.3,137,1984,"Action, Adventure, Sci-Fi",166983,1984-12-03,David Lynch,,
31,tt0056193,2023-07-25,2023-07-25,,Lolita,https://www.imdb.com/title/tt0056193/,movie,7.5,153,1962,"Crime, Drama, Romance",105498,1962-06-13,Stanley Kubrick,,
